Date;7 DAYS MA;14 DAYS MA;21 DAYS MA;7 DAYS STD DEV;RSI 7;RSI 14;RSI 21;MFI 7;MFI 14;MFI 21;dayofweek;quarter;month;year;dayofyear;dayofmonth;weekofyear;Predicted Close;Actual Close;Diff;Within RMSE Range;Actual Return;Predicted Return;TP;TN;FP;FN
9/10/2020;90.00;93.43;103.76;2.16;19.39;31.23;36.63;27.25;47.93;29.09;3;3;9;2020;254;10;37;82.58;81.00;-1.58;yes;down;down;no;yes;no;no
9/11/2020;88.57;92.07;100.81;3.95;18.44;30.64;36.20;0.00;49.33;29.66;4;3;9;2020;255;11;37;80.81;80.00;-0.81;yes;down;down;no;yes;no;no
9/14/2020;86.86;90.79;98.29;4.74;41.66;39.17;41.27;21.56;57.30;34.06;0;3;9;2020;258;14;38;85.60;87.00;1.40;yes;up;up;yes;no;no;no
9/15/2020;86.14;90.43;96.24;4.18;38.05;37.75;40.31;31.49;42.05;35.66;1;3;9;2020;259;15;38;85.63;85.00;-0.63;yes;down;up;no;no;yes;no
9/16/2020;85.29;88.93;94.19;3.59;36.22;37.02;39.82;32.37;25.55;37.73;2;3;9;2020;260;16;38;84.58;84.00;-0.58;yes;down;down;no;yes;no;no
9/17/2020;84.43;87.86;92.48;2.94;36.22;37.02;39.82;38.54;29.62;41.03;3;3;9;2020;261;17;38;84.75;84.00;-0.75;yes;up;up;yes;no;no;no
9/18/2020;84.00;87.21;91.14;2.71;27.28;33.30;37.34;42.06;33.10;44.18;4;3;9;2020;262;18;38;83.55;79.00;-4.55;no;down;down;no;yes;no;no
9/21/2020;82.86;86.43;89.90;2.91;25.80;32.60;36.85;44.78;34.36;47.49;0;3;9;2020;265;21;39;77.10;78.00;0.90;yes;down;down;no;yes;no;no
9/22/2020;82.43;85.50;88.86;3.41;24.26;31.87;36.36;55.87;20.79;50.11;1;3;9;2020;266;22;39;76.55;77.00;0.45;yes;down;down;no;yes;no;no
9/23/2020;82.00;84.43;87.86;3.92;21.29;30.41;35.37;23.24;22.04;54.18;2;3;9;2020;267;23;39;75.10;75.00;-0.10;yes;down;down;no;yes;no;no
9/24/2020;80.29;83.21;87.05;3.99;16.56;27.68;33.44;0.00;22.99;37.36;3;3;9;2020;268;24;39;72.60;71.00;-1.60;yes;down;down;no;yes;no;no
9/25/2020;78.29;81.79;85.38;4.68;39.91;36.84;38.69;38.09;34.43;27.94;4;3;9;2020;269;25;39;78.04;77.00;-1.04;yes;up;up;yes;no;no;no
9/28/2020;77.29;80.86;84.33;3.95;37.85;36.02;38.16;45.43;41.34;33.06;0;3;9;2020;272;28;40;78.12;76.00;-2.12;yes;down;up;no;no;yes;no
9/29/2020;76.14;80.07;83.52;2.61;35.70;35.18;37.63;45.19;43.40;35.97;1;3;9;2020;273;29;40;74.49;75.00;0.51;yes;down;down;no;yes;no;no
9/30/2020;75.57;79.21;82.81;2.30;35.70;35.18;37.63;47.91;46.12;37.53;2;3;9;2020;274;30;40;72.31;75.00;2.69;yes;up;down;no;no;no;yes
10/1/2020;75.14;78.79;82.05;2.04;53.62;42.92;42.12;66.05;61.26;34.16;3;4;10;2020;275;1;40;76.07;80.00;3.93;no;up;up;yes;no;no;no
10/2/2020;75.57;78.79;81.48;2.70;47.45;40.82;40.88;77.03;56.87;39.64;4;4;10;2020;276;2;40;75.29;78.00;2.71;yes;down;down;no;yes;no;no
10/5/2020;76.00;78.14;80.81;2.83;44.47;39.77;40.26;81.80;51.65;41.59;0;4;10;2020;279;5;41;76.98;77.00;0.02;yes;down;up;no;no;yes;no
10/6/2020;76.86;77.57;80.14;1.77;67.97;52.82;48.48;83.41;63.43;49.79;1;4;10;2020;280;6;41;83.29;87.00;3.71;no;up;up;yes;no;no;no
10/7/2020;78.29;77.79;80.00;4.23;61.86;50.46;47.12;86.04;69.65;58.11;2;4;10;2020;281;7;41;83.25;85.00;1.75;yes;down;down;no;yes;no;no
10/8/2020;79.57;77.86;79.90;4.76;55.99;48.15;45.77;86.83;69.88;60.10;3;4;10;2020;282;8;41;81.14;83.00;1.86;yes;down;down;no;yes;no;no
10/9/2020;80.71;78.14;79.71;4.42;58.30;49.40;46.57;85.83;71.03;62.07;4;4;10;2020;283;9;41;83.27;84.00;0.73;yes;up;up;yes;no;no;no
10/12/2020;82.00;78.57;79.86;3.74;54.94;48.15;45.86;76.86;71.76;67.06;0;4;10;2020;286;12;42;83.40;83.00;-0.40;yes;down;up;no;no;yes;no
10/13/2020;82.43;79.00;80.00;3.64;57.78;49.53;46.71;73.11;75.16;62.75;1;4;10;2020;287;13;42;84.77;84.00;-0.77;yes;up;up;yes;no;no;no
10/14/2020;83.29;79.64;79.86;3.09;53.82;48.15;45.95;79.85;80.76;63.35;2;4;10;2020;288;14;42;83.21;83.00;-0.21;yes;down;down;no;yes;no;no
10/15/2020;84.14;80.50;79.76;1.46;53.82;48.15;45.95;60.86;74.08;62.71;3;4;10;2020;289;15;42;87.12;83.00;-4.12;no;up;up;yes;no;no;no
10/16/2020;83.57;80.93;79.71;0.79;49.23;46.65;45.14;35.57;71.26;62.90;4;4;10;2020;290;16;42;81.57;82.00;0.43;yes;down;down;no;yes;no;no
10/19/2020;83.14;81.36;79.62;0.69;49.23;46.65;45.14;31.07;68.79;61.30;0;4;10;2020;293;19;43;81.57;82.00;0.43;yes;up;up;yes;no;no;no
